iter	Passed	Remaining
398	154767	233120
399	155214	232822
400	155680	232549
401	156123	232243
402	156733	232182
403	157186	231889
404	157713	231702
405	158315	231623
406	158786	231351
407	159296	231136
408	159881	231026
409	160448	230889
410	160932	230630
411	161418	230373
412	161874	230072
413	162255	229665
414	162716	229371
415	163150	229038
416	163646	228791
417	164083	228460
418	164576	228208
419	164995	227851
420	165433	227520
421	165922	227258
422	166342	226902
423	166912	226749
424	167818	227048
425	168467	226995
426	168988	226769
427	169544	226587
428	170135	226451
429	170707	226286
430	171105	225890
431	171671	225716
432	172198	225488
433	172727	225261
434	173198	224958
435	173655	224636
436	174131	224339
437	174614	224049
438	174999	223632
439	175462	223315
440	175901	222967
441	176369	222656
442	176841	222349
443	177293	222015
444	177705	221632
445	178072	221192
446	178486	220812
447	178955	220499
448	179344	220086
449	179833	219795
450	180400	219600
451	180983	219422
452	181517	219183
453	182239	219169
454	182946	219133
455	183470	218877
456	183957	218575
457	184791	218683
458	186092	219337
459	186865	219363
460	187533	219264
461	188170	219125
462	189005	219213
463	189709	219147
464	190242	218881
465	190833	218680
466	191479	218540
467	192058	218323
468	192759	218241
469	193432	218126
470	194217	218134
471	194861	217980
472	195790	218143
473	196453	218005
474	197393	218171
475	198160	218143
476	199064	218261
477	199724	218109
478	200270	217830
479	200870	217609
480	201588	217514
481	202254	217360
482	202915	217199
483	203501	216956
484	204168	216797
485	204806	216606
486	205487	216458
487	206143	216282
488	206737	216038
489	207399	215864
490	207949	215573
491	208592	215376
492	209182	215122
493	209829	214926
494	210410	214661
495	211147	214553
496	211829	214386
497	212651	214359
498	213342	214197
499	213947	213947
500	214543	213686
501	215209	213495
502	215840	213266
503	216925	213482
504	217860	213546
505	218477	213295
506	219122	213071
507	219906	212980
508	220524	212725
509	221077	212408
510	221634	212092
511	222320	211899
512	222998	211696
513	223705	211518
514	224482	211405
515	225038	211082
516	225644	210805
517	226316	210587
518	226838	210229
519	227420	209926
520	228080	209694
521	228859	209569
522	230026	209794
523	231208	210028
524	231936	209847
525	232656	209656
526	233602	209665
527	234655	209767
528	235979	210106
529	237095	210254
530	237729	209972
531	238578	209876
532	239473	209819
533	240233	209641
534	240916	209394
535	241839	209353
536	242699	209255
537	243405	209021
538	244004	208694
539	244736	208479
540	245590	208365
541	246447	208252
542	247133	207992
543	247883	207784
544	248609	207554
545	249282	207279
546	249961	207006
547	250682	206767
548	251390	206515
549	252231	206371
550	252849	206042
551	253812	205992
552	254649	205838
553	255325	205551
554	256053	205303
555	256601	204911
556	257268	204614
557	257913	204296
558	258419	203869
559	258870	203398
560	259248	202869
561	259620	202337
562	260043	201845
563	260409	201309
564	260747	200752
565	261099	200207
566	261497	199697
567	261815	199127
568	262173	198588
569	262601	198103
570	262929	197542
571	263314	197025
572	263793	196579
573	264136	196031
574	264507	195505
575	264870	194974
576	265182	194406
577	265520	193857
578	265832	193290
579	266231	192788
580	266618	192277
581	266987	191754
582	267353	191228
583	267697	190688
584	268052	190157
585	268336	189575
586	268721	189066
587	269106	188557
588	269421	188000
589	269751	187454
590	270126	186940
591	270518	186438
592	270841	185889
593	271269	185413
594	271597	184868
595	271940	184335
596	272291	183808
597	272644	183283
598	272991	182754
599	273347	182231
600	273721	181722
601	274085	181206
602	274428	180676
603	274857	180204
604	275205	179679
605	275573	179168
606	275894	178626
607	276291	178135
608	276674	177635
609	277072	177144
610	277480	176661
611	277808	176126
612	278131	175590
613	278541	175109
614	278888	174588
615	279278	174095
616	279617	173571
617	280023	173088
618	280425	172604
619	280804	172105
620	281194	171614
621	281580	171121
622	281949	170617
623	282358	170139
624	282707	169624
625	283035	169098
626	283379	168581
627	283765	168090
628	284128	167586
629	284477	167074
630	284868	166587
631	285205	166069
632	285598	165584
633	285999	165103
634	286353	164597
635	286723	164099
636	287094	163603
637	287476	163113
638	287810	162597
639	288185	162104
640	288543	161602
641	288908	161104
642	289284	160613
643	289618	160099
644	290042	159635
645	290392	159131
646	290726	158618
647	291071	158113
648	291445	157622
649	291804	157125
650	292174	156634
651	292643	156196
652	292991	155693
653	293535	155295
654	293969	154838
655	294395	154377
656	294770	153890
657	295107	153383
658	295478	152895
659	296013	152491
660	296504	152065
661	296985	151633
662	297686	151312
663	298127	150859
664	298592	150418
665	299013	149955
666	299461	149506
667	299949	149076
668	300429	148643
669	300823	148166
670	301211	147687
671	301672	147244
672	302092	146781
673	302553	146338
674	302913	145847
675	303372	145403
676	303761	144926
677	304121	144435
678	304586	143994
679	305070	143562
680	305451	143082
681	305855	142612
682	306165	142100
683	306564	141629
684	306965	141159
685	307341	140678
686	307766	140219
687	308246	139786
688	308611	139300
689	308993	138823
690	309332	138326
691	309697	137842
692	310144	137394
693	310448	136883
694	310820	136403
695	311264	135954
696	311764	135530
697	312159	135060
698	312579	134601
699	312987	134137
700	313393	133673
701	313827	133220
702	314306	132786
703	314771	132347
704	315187	131887
705	315597	131424
706	316000	130959
707	316423	130502
708	316845	130045
709	317480	129675
710	318184	129332
711	318739	128928
712	319198	128485
713	319644	128037
714	320068	127579
715	320457	127109
716	320917	126666
717	321281	126185
718	321716	125733
719	322139	125276
