iter	Passed	Remaining
398	166988	251528
399	167346	251020
400	167718	250532
401	168087	250040
402	168430	249510
403	168764	248969
404	169146	248498
405	169495	247981
406	169924	247580
407	170251	247031
408	170595	246509
409	170945	245994
410	171306	245497
411	171669	245003
412	172015	244487
413	172336	243935
414	172627	243342
415	172992	242855
416	173385	242407
417	173737	241902
418	174144	241474
419	174552	241049
420	174956	240616
421	175300	240103
422	175621	239559
423	175987	239077
424	176361	238606
425	176813	238242
426	177169	237747
427	177532	237263
428	177894	236778
429	178226	236253
430	178541	235708
431	178883	235199
432	179235	234703
433	179597	234221
434	180006	233801
435	180410	233374
436	180773	232895
437	181125	232402
438	181486	231922
439	181874	231476
440	182240	231003
441	182587	230506
442	182962	230045
443	183284	229518
444	183665	229066
445	183973	228523
446	184336	228049
447	184699	227576
448	185045	227082
449	185410	226613
450	185825	226203
451	186193	225739
452	186506	225207
453	186815	224672
454	187160	224181
455	187509	223695
456	187862	223214
457	188215	222735
458	188560	222246
459	188946	221807
460	189306	221336
461	189706	220913
462	190117	220503
463	190458	220012
464	190771	219489
465	191122	219011
466	191541	218611
467	191905	218148
468	192263	217679
469	192646	217240
470	192943	216702
471	193342	216281
472	193707	215822
473	194003	215286
474	194353	214811
475	194743	214381
476	195063	213875
477	195458	213450
478	195836	213008
479	196185	212533
480	196584	212114
481	196995	211708
482	197353	211246
483	197664	210732
484	198023	210271
485	198387	209817
486	198717	209327
487	199055	208845
488	199404	208375
489	199773	207927
490	200116	207452
491	200461	206980
492	200803	206505
493	201180	206067
494	201533	205605
495	201916	205172
496	202301	204743
497	202721	204349
498	203088	203902
499	203452	203452
500	203826	203013
501	204156	202529
502	204526	202087
503	204915	201663
504	205283	201218
505	205658	200780
506	206014	200325
507	206372	199872
508	206742	199431
509	207164	199040
510	207445	198514
511	207787	198047
512	208144	197595
513	208501	197143
514	208864	196697
515	209253	196276
516	209664	195876
517	210042	195445
518	210446	195038
519	210753	194541
520	211057	194043
521	211413	193593
522	211770	193144
523	212097	192668
524	212452	192218
525	212810	191772
526	213209	191362
527	213590	190936
528	214024	190558
529	214388	190118
530	214747	189673
531	215099	189223
532	215453	188774
533	215819	188337
534	216199	187912
535	216557	187467
536	216937	187042
537	217376	186669
538	217725	186217
539	218013	185715
540	218368	185270
541	218707	184811
542	219053	184359
543	219440	183942
544	219863	183555
545	220245	183134
546	220651	182733
547	220992	182278
548	221343	181832
549	221620	181325
550	221962	180872
551	222331	180442
552	222663	179982
553	222979	179510
554	223336	179071
555	223710	178646
556	224088	178224
557	224448	177789
558	224835	177374
559	225226	176963
560	225562	176509
561	225962	176106
562	226339	175684
563	226716	175262
564	227102	174848
565	227521	174459
566	227886	174029
567	228248	173597
568	228610	173165
569	228921	172694
570	229307	172281
571	229691	171867
572	230048	171432
573	230457	171036
574	230864	170639
575	231173	170169
576	231506	169717
577	231849	169274
578	232133	168787
579	232466	168338
580	232856	167928
581	233216	167498
582	233557	167055
583	233984	166673
584	234379	166269
585	234727	165831
586	235096	165408
587	235424	164957
588	235754	164507
589	236139	164096
590	236537	163695
591	236924	163285
592	237289	162861
593	237689	162461
594	238032	162021
595	238383	161589
596	238701	161133
597	239039	160692
598	239389	160259
599	239770	159846
600	240114	159410
601	240471	158982
602	240869	158582
603	241250	158171
604	241644	157767
605	242031	157360
606	242389	156934
607	242723	156492
608	243057	156051
609	243389	155609
610	243743	155182
611	244105	154759
612	244510	154364
613	244901	153960
614	245298	153561
615	245632	153121
616	245980	152691
617	246321	152256
618	246638	151807
619	247046	151415
620	247477	151037
621	247855	150625
622	248214	150203
623	248569	149779
624	248937	149362
625	249293	148938
626	249608	148491
627	249927	148046
628	250283	147623
629	250659	147212
630	251073	146824
631	251463	146421
632	251805	145991
633	252169	145574
634	252540	145161
635	252922	144754
636	253245	144314
637	253613	143900
638	253989	143490
639	254419	143111
640	254819	142715
641	255198	142306
642	255566	141892
643	255908	141465
644	256230	141025
645	256563	140593
646	256931	140180
647	257316	139776
648	257729	139388
649	258141	138999
650	258509	138586
651	258882	138176
652	259250	137764
653	259587	137335
654	259942	136916
655	260293	136495
656	260660	136082
657	261091	135703
658	261467	135296
659	261827	134880
660	262201	134472
661	262568	134060
662	262919	133640
663	263199	133185
664	263522	132752
665	263891	132342
666	264306	131955
667	264700	131557
668	265088	131157
669	265436	130737
670	265789	130319
671	266197	129929
672	266530	129502
673	266856	129072
674	267195	128649
675	267588	128252
